x: -9.975 , y: -9.975 , z: 0.075
x: -9.825 , y: -9.975 , z: 0.075
x: -9.674999999999999 , y: -9.975 , z: 0.075
x: -9.975 , y: -9.825 , z: 0.075
x: -9.975 , y: -9.674999999999999 , z: 0.075
x: -9.825 , y: -9.825 , z: 0.075
x: -9.674999999999999 , y: -9.825 , z: 0.075
x: -9.825 , y: -9.674999999999999 , z: 0.075
x: -9.674999999999999 , y: -9.674999999999999 , z: 0.075
x: -9.525 , y: -9.975 , z: 0.075
x: -9.375 , y: -9.975 , z: 0.075
x: -9.225 , y: -9.975 , z: 0.075
x: -9.075 , y: -9.975 , z: 0.075
x: -9.525 , y: -9.825 , z: 0.075
x: -9.375 , y: -9.825 , z: 0.075
x: -9.525 , y: -9.674999999999999 , z: 0.075
x: -9.375 , y: -9.674999999999999 , z: 0.075
x: -9.225 , y: -9.825 , z: 0.075
x: -9.075 , y: -9.825 , z: 0.075
x: -9.225 , y: -9.674999999999999 , z: 0.075
x: -9.075 , y: -9.674999999999999 , z: 0.075
x: -8.924999999999999 , y: -9.975 , z: 0.075
x: -8.775 , y: -9.975 , z: 0.075
x: -8.625 , y: -9.975 , z: 0.075
x: -8.475 , y: -9.975 , z: 0.075
x: -8.924999999999999 , y: -9.825 , z: 0.075
x: -8.775 , y: -9.825 , z: 0.075
x: -8.924999999999999 , y: -9.674999999999999 , z: 0.075
x: -8.775 , y: -9.674999999999999 , z: 0.075
x: -8.625 , y: -9.825 , z: 0.075
x: -8.475 , y: -9.825 , z: 0.075
x: -8.625 , y: -9.674999999999999 , z: 0.075
x: -8.475 , y: -9.674999999999999 , z: 0.075
x: -8.325 , y: -9.975 , z: 0.075
x: -8.174999999999999 , y: -9.975 , z: 0.075
x: -8.025 , y: -9.975 , z: 0.075
x: -7.875 , y: -9.975 , z: 0.075
x: -8.325 , y: -9.825 , z: 0.075
x: -8.174999999999999 , y: -9.825 , z: 0.075
x: -8.325 , y: -9.674999999999999 , z: 0.075
x: -8.174999999999999 , y: -9.674999999999999 , z: 0.075
x: -8.025 , y: -9.825 , z: 0.075
x: -7.875 , y: -9.825 , z: 0.075
x: -8.025 , y: -9.674999999999999 , z: 0.075
x: -7.875 , y: -9.674999999999999 , z: 0.075
x: -7.725 , y: -9.975 , z: 0.075
x: -7.574999999999999 , y: -9.975 , z: 0.075
x: -7.425 , y: -9.975 , z: 0.075
x: -7.2749999999999995 , y: -9.975 , z: 0.075
x: -7.725 , y: -9.825 , z: 0.075
x: -7.574999999999999 , y: -9.825 , z: 0.075
x: -7.725 , y: -9.674999999999999 , z: 0.075
x: -7.574999999999999 , y: -9.674999999999999 , z: 0.075
x: -7.425 , y: -9.825 , z: 0.075
x: -7.2749999999999995 , y: -9.825 , z: 0.075
x: -7.425 , y: -9.674999999999999 , z: 0.075
x: -7.2749999999999995 , y: -9.674999999999999 , z: 0.075
x: -7.125 , y: -9.975 , z: 0.075
x: -6.975 , y: -9.975 , z: 0.075
x: -6.825 , y: -9.975 , z: 0.075
x: -6.675 , y: -9.975 , z: 0.075
x: -7.125 , y: -9.825 , z: 0.075
x: -6.975 , y: -9.825 , z: 0.075
x: -7.125 , y: -9.674999999999999 , z: 0.075
x: -6.975 , y: -9.674999999999999 , z: 0.075
x: -6.825 , y: -9.825 , z: 0.075
x: -6.675 , y: -9.825 , z: 0.075
x: -6.825 , y: -9.674999999999999 , z: 0.075
x: -6.675 , y: -9.674999999999999 , z: 0.075
x: -6.5249999999999995 , y: -9.975 , z: 0.075
x: -6.375 , y: -9.975 , z: 0.075
x: -6.225 , y: -9.975 , z: 0.075
x: -6.075 , y: -9.975 , z: 0.075
x: -6.5249999999999995 , y: -9.825 , z: 0.075
x: -6.375 , y: -9.825 , z: 0.075
x: -6.5249999999999995 , y: -9.674999999999999 , z: 0.075
x: -6.375 , y: -9.674999999999999 , z: 0.075
x: -6.225 , y: -9.825 , z: 0.075
